ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119575	SERTING HILIR	MAY	NULL	NULL	72	28	JEMPOL	236.913300	86.687637	26902
1119557	PARIT JAWA	MAY	NULL	NULL	84	28	MUAR	66.908100	42.159879	10202
1119576	JELAI	MAY	NULL	NULL	72	28	JEMPOL	169.994100	72.852653	21296
1119577	SERTING ULU	MAY	NULL	NULL	72	28	JEMPOL	289.004600	107.968499	16245
1119622	GADEK	MAY	NULL	NULL	78	28	ALOR GAJAH	15.084700	24.505765	2462
1119623	PARIT MELANA	MAY	NULL	NULL	76	28	ALOR GAJAH	6.426600	12.990416	1677
1119624	BELIMBING	MAY	NULL	NULL	76	28	ALOR GAJAH	3.671800	9.380595	8056
1119625	DURIAN TUNGGAL	MAY	NULL	NULL	76	28	ALOR GAJAH	49.438600	37.476617	9364
1119626	PULAU SEBANG	MAY	NULL	NULL	78	28	ALOR GAJAH	18.782300	23.790900	7744
1119627	BUKIT PIATU	MAY	NULL	NULL	75	28	MELAKA TENGAH	1.751900	5.645024	7099
1119628	BATU BERENDAM	MAY	NULL	NULL	75	28	MELAKA TENGAH	14.302200	20.363423	25660
1119629	BUKIT BARU	MAY	NULL	NULL	75	28	MELAKA TENGAH	13.493900	24.927940	36470
1119630	TEBING TINGGI	MAY	NULL	NULL	27	28	JERANTUT	91.589600	50.393293	2820
1119631	KUALA TEMBELING	MAY	NULL	NULL	27	28	JERANTUT	192.134800	76.833138	2699
1119632	PANJI	MAY	NULL	NULL	16	28	KOTA BHARU	24.945400	26.583423	59341
1119633	LUNDANG	MAY	NULL	NULL	16	28	KOTA BHARU	21.400300	25.200430	48714
1119634	KOTA	MAY	NULL	NULL	16	28	KOTA BHARU	17.586100	24.168631	21724
1119635	LIMBAT	MAY	NULL	NULL	16	28	KOTA BHARU	18.369800	19.721299	14778
1119636	PERINGAT	MAY	NULL	NULL	16	28	KOTA BHARU	42.261500	27.461938	20721
1119637	KADOK	MAY	NULL	NULL	16	28	KOTA BHARU	33.085300	30.848459	17064
1119638	PANGKAL KALONG	MAY	NULL	NULL	16	28	KOTA BHARU	60.227900	32.209165	34400
1119578	KUALA JEMPOL	MAY	NULL	NULL	72	28	JEMPOL	38.813800	35.571049	10566
1119579	KEPIS	MAY	NULL	NULL	73	28	KUALA PILAH	87.620300	57.422112	3782
1119580	GEMENCHEH	MAY	NULL	NULL	73	28	TAMPIN	262.573800	70.385068	19503
1119581	BUKIT LINTANG	MAY	NULL	NULL	75	28	MELAKA TENGAH	26.973600	27.797463	8580
1119582	AYER MOLEK	MAY	NULL	NULL	75	28	MELAKA TENGAH	20.772900	26.332475	7739
1119583	KESANG	MAY	NULL	NULL	77	28	JASIN	46.383700	45.430177	5305
1119584	BATANG MELAKA	MAY	NULL	NULL	77	28	JASIN	40.458400	33.941270	2846
1119585	BUKIT SENGGEH	MAY	NULL	NULL	77	28	JASIN	21.140300	21.626450	1004
1119586	SELANDAR	MAY	NULL	NULL	77	28	JASIN	61.173000	42.876996	5182
1119587	AYER PANAS	MAY	NULL	NULL	77	28	JASIN	69.426300	43.351198	9189
1119588	SONGSANG	MAY	NULL	NULL	28	28	TEMERLUH	26.044800	24.634877	2525
1119589	PERAK	MAY	NULL	NULL	28	28	TEMERLUH	215.874700	94.800077	38129
1119590	TRIANG	MAY	NULL	NULL	28	28	BERA	562.515200	113.737009	41467
1119591	LIPAT KAJANG	MAY	NULL	NULL	28	28	TEMERLUH	35.375800	30.893865	1387
1119592	KERDAU	MAY	NULL	NULL	28	28	TEMERLUH	125.862500	62.526916	4867
1119593	BURAU	MAY	NULL	NULL	27	28	JERANTUT	117.111100	58.886777	3862
1119594	PEDAH	MAY	NULL	NULL	27	28	JERANTUT	255.772200	99.818065	25633
1119595	TEMBELING	MAY	NULL	NULL	27	28	JERANTUT	1224.926600	209.839845	6826
1119596	TEH	MAY	NULL	NULL	27	28	JERANTUT	83.663300	43.038661	7551
1119597	RELAGAT	MAY	NULL	NULL	22	28	BESUT	84.076100	51.402870	9276
1119598	HULU BESUT	MAY	NULL	NULL	22	28	BESUT	460.183400	102.143569	5030
1119599	PADANG PAK AMAT	MAY	NULL	NULL	16	28	PASIR PUTEH	52.301400	48.961608	13360
1119600	BUKIT JAWA	MAY	NULL	NULL	16	28	PASIR PUTEH	77.628800	48.693003	19329
1119601	JERAM	MAY	NULL	NULL	16	28	PASIR PUTEH	49.749000	41.437646	36795
1119602	GONG DATOK	MAY	NULL	NULL	16	28	PASIR PUTEH	36.859100	40.883366	8721
1119603	LIMBONGAN	MAY	NULL	NULL	16	28	PASIR PUTEH	17.645800	23.979927	14164
1119604	PERUPOK	MAY	NULL	NULL	16	28	BACHOK	18.706000	24.716651	16732
1119605	MELAWI	MAY	NULL	NULL	16	28	BACHOK	37.609400	32.329256	1630
1119606	GUNONG TIMOR	MAY	NULL	NULL	16	28	BACHOK	56.717000	33.933017	20132
1119607	TELONG	MAY	NULL	NULL	16	28	BACHOK	66.376600	36.527776	8463
1119608	BADANG	MAY	NULL	NULL	16	28	KOTA BHARU	26.515900	32.020340	30237
1119609	MELAKA PINDAH	MAY	NULL	NULL	78	28	ALOR GAJAH	24.679500	28.022265	3238
1119610	LABOK	MAY	NULL	NULL	18	28	MACHANG	83.096500	48.493526	12136
1119611	PULAI CHONDONG	MAY	NULL	NULL	16	28	MACHANG	54.928400	35.928534	12661
1119612	PERTANG	MAY	NULL	NULL	72	28	JELEBU	281.122100	86.152030	10714
1119613	PILAH	MAY	NULL	NULL	72	28	KUALA PILAH	36.001100	42.472929	14356
1119614	JOHOL	MAY	NULL	NULL	73	28	KUALA PILAH	264.545900	73.495785	8885
1119615	ULU JEMPOL	MAY	NULL	NULL	72	28	KUALA PILAH	94.573300	46.718123	2903
1119616	ULU MUAR	MAY	NULL	NULL	72	28	KUALA PILAH	60.496000	36.739693	6861
1119617	JUASSEH	MAY	NULL	NULL	72	28	KUALA PILAH	81.325000	50.834597	8630
1119618	TAMPIN TENGAH	MAY	NULL	NULL	73	28	TAMPIN	21.794200	24.976731	20781
1119619	REPAH	MAY	NULL	NULL	73	28	TAMPIN	54.785600	42.463796	2563
1119620	KEMUNING	MAY	NULL	NULL	78	28	ALOR GAJAH	25.711200	30.704969	1989
1119621	PADANG SEBANG	MAY	NULL	NULL	78	28	ALOR GAJAH	8.550100	15.708287	2261
1119639	BUKIT RAMBAI	MAY	NULL	NULL	75	28	MELAKA TENGAH	18.104300	20.477309	18202
