ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
111987	CHANGKAT JONG	MAY	NULL	NULL	36	28	HILIR PERAK	210.840800	75.010736	23082
111988	LABU KUBONG	MAY	NULL	NULL	36	28	HILIR PERAK	144.480600	58.802307	19586
111989	CHENDERIANG	MAY	NULL	NULL	35	28	BATANG PADANG	246.000900	79.387636	18529
111990	KAMPAR	MAY	NULL	NULL	31	28	KINTA	399.306500	107.231030	57389
111991	BATANG PADANG	MAY	NULL	NULL	35	28	BATANG PADANG	533.422500	138.049517	28991
111992	BIDOR	MAY	NULL	NULL	35	28	BATANG PADANG	330.741000	91.992703	30389
111993	PANTAI ACHEH MUKIM 1	MAY	NULL	NULL	11	28	BARAT DAYA	24.058400	28.042029	4422
111994	WANG BINTONG	MAY	NULL	NULL	6	28	PERLIS	12.744600	19.500537	7912
111995	SERIAP	MAY	NULL	NULL	6	28	PERLIS	11.042000	19.381623	7746
111996	KAYANG	MAY	NULL	NULL	6	28	PERLIS	39.078100	37.681778	10244
111997	KURUNG BATANG	MAY	NULL	NULL	6	28	PERLIS	41.679000	42.446856	3115
111998	SANGLANG	MAY	NULL	NULL	6	28	PERLIS	61.065500	36.319066	15607
111999	TITI TINGGI	MAY	NULL	NULL	6	28	PERLIS	198.520900	73.244315	16222
1119100	HULU MELAKA	MAY	NULL	NULL	7	28	LANGKAWI	80.695900	50.826064	10468
1119101	BOHOR	MAY	NULL	NULL	7	28	LANGKAWI	34.184400	28.688396	6044
1119102	KUALA PERLIS	MAY	NULL	NULL	6	28	PERLIS	26.773500	30.326958	16626
1119103	PENGKALAN BAHARU	MAY	NULL	NULL	34	28	MANJUNG	262.961100	73.911602	28045
1119104	JEBONG	MAY	NULL	NULL	34	28	LARUT & MATANG	119.190000	59.196649	16830
1119105	TERONG	MAY	NULL	NULL	34	28	LARUT & MATANG	160.216700	60.100935	3864
1119106	SUNGAI LIMAU	MAY	NULL	NULL	34	28	LARUT & MATANG	56.947400	35.288133	3080
1119107	SUNGAI TINGGI	MAY	NULL	NULL	34	28	LARUT & MATANG	309.377700	88.101380	10872
1119108	KUALA SELAMA	MAY	NULL	NULL	9	28	BANDAR BAHARU	31.290000	34.189337	4441
1119109	BAGAN SENA	MAY	NULL	NULL	9	28	KULIM	62.545400	44.496373	6181
1119110	KARANGAN	MAY	NULL	NULL	9	28	KULIM	80.622000	44.944619	8226
1119111	TERAP	MAY	NULL	NULL	9	28	KULIM	97.232600	58.382107	4049
1119112	PADANG KERBAU	MAY	NULL	NULL	6	28	PENDANG	111.042900	51.911144	10152
1119113	PADANG PELIAN	MAY	NULL	NULL	6	28	PENDANG	150.292200	62.942617	5061
1119114	PADANG TERAP KANAN	MAY	NULL	NULL	6	28	PADANG TERAP	26.998800	24.882574	1677
1119115	PEDU	MAY	NULL	NULL	8	28	PADANG TERAP	320.928400	94.695713	6157
1119116	PADANG TERAP KIRI	MAY	NULL	NULL	6	28	PADANG TERAP	98.323900	59.593565	3826
1119117	BATANG TUNGGANG KIRI	MAY	NULL	NULL	6	28	PADANG TERAP	190.856300	75.531831	1192
1119118	TEKAI	MAY	NULL	NULL	8	28	PADANG TERAP	375.321200	107.576609	19498
1119119	GUNONG SEMANGGOL	MAY	NULL	NULL	34	28	KERIAN	164.105200	57.987017	14593
1119842	JEMALUANG	MAY	NULL	NULL	86	28	MERSING	115.547500	55.454469	1259
1119843	ULU SUNGAI SEDILI BESAR	MAY	NULL	NULL	81	28	KOTA TINGGI	514.330900	101.613604	7434
1119844	BANDAR JOHOR BAHRU	MAY	NULL	NULL	80	28	JOHOR BAHRU	57.322500	40.384032	142530
1119845	PENYABONG	MAY	NULL	NULL	86	28	MERSING	95.486600	51.424681	2826
1119846	TEBRAU	MAY	NULL	NULL	81	28	JOHOR BAHRU	217.402400	66.614081	190246
1119847	TRIANG	MAY	NULL	NULL	86	28	MERSING	52.325200	30.507252	41467
1119848	TENGGAROH	MAY	NULL	NULL	86	28	MERSING	184.079900	78.973922	3811
1119849	JOHOR LAMA	MAY	NULL	NULL	81	28	KOTA TINGGI	228.739900	88.369983	12196
1119850	SUNGAI TIRAM	MAY	NULL	NULL	81	28	JOHOR BAHRU	233.927700	81.167884	7310
1119851	PANTAI TIMUR	MAY	NULL	NULL	81	28	KOTA TINGGI	243.573400	111.698584	6871
1119852	DENGKIL	MAY	NULL	NULL	43	28	SEPANG	244.307900	126284.193200	7106
1119853	MUKIM KUALA LUMPUR	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	58.746900	65.549394	19729
1119854	MUKIM BATU	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	52.815800	36.980456	740
1119855	MUKIM PETALING	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	46.826700	45.992195	10429
1119856	PETALING	MAY	NULL	NULL	47	28	PETALING	124.178300	65.180048	357317
1119857	BANDAR PETALING JAYA	MAY	NULL	NULL	46	28	PETALING	16.224900	19.348219	67320
1119858	ULU KELANG	MAY	NULL	NULL	68	28	GOMBAK	232.203200	86.269384	164710
1119859	AMPANG	MAY	NULL	NULL	68	28	ULU LANGAT	35.740000	32.864252	357925
1119860	CHERAS	MAY	NULL	NULL	43	28	ULU LANGAT	56.948400	45.571293	163550
1119861	KAJANG	MAY	NULL	NULL	43	28	ULU LANGAT	100.609500	59.018015	229655
1119862	WP PUTRAJAYA	MAY	NULL	NULL	62	28	WP PUTRAJAYA	49.586200	5.886295	41070
1119863	MUKIM AMPANG	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	4.209500	15.181194	1688
1119864	MUKIM CHERAS	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	0.993000	6.557612	8945
1119865	MUKIM HULU KELANG	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	2.379700	9.542604	1280
1119866	MUKIM SETAPAK	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	29.448900	35.033672	365
1119827	SUNGAI PINGGAN	MAY	NULL	NULL	82	28	PONTIAN	61.722100	38.201347	7635
1119828	PULAU RUSA	MAY	NULL	NULL	26	28	PEKAN	27.552400	23.042903	567
1119829	PASIR SEMUT	MAY	NULL	NULL	24	28	KEMAMAN	65.577400	40.575896	1956
1119830	SUNGAI KARANG	MAY	NULL	NULL	82	28	PONTIAN	65.091400	107.087102	1993
1119831	JERAM BATU	MAY	NULL	NULL	82	28	PONTIAN	112.809800	51.431884	18471
1119832	SERKAT	MAY	NULL	NULL	82	28	PONTIAN	69.278700	48.524806	8058
1119833	PENGKALAN RAJA	MAY	NULL	NULL	82	28	PONTIAN	6.930800	13.854230	1238
1119834	KIJAL	MAY	NULL	NULL	24	28	KEMAMAN	65.406600	34.998287	8576
1119835	RIMBA TERJUN	MAY	NULL	NULL	82	28	PONTIAN	82.746900	47.069652	25938
1119836	TELUK KALUNG	MAY	NULL	NULL	24	28	KEMAMAN	38.466600	29.944265	9878
1119837	SURA	MAY	NULL	NULL	23	28	DUNGUN	28.609300	22.091069	20778
1119838	JELUTONG	MAY	NULL	NULL	81	28	JOHOR BAHRU	15.663900	16.984297	4385
1119839	KOTA TINGGI	MAY	NULL	NULL	81	28	KOTA TINGGI	390.217700	116.461621	46507
1119840	PELENTONG	MAY	NULL	NULL	81	28	JOHOR BAHRU	257.772300	90.194907	349390
1119841	MERSING	MAY	NULL	NULL	86	28	MERSING	775.917700	139.854642	40886
1119867	BANDAR KUALA LUMPUR	MAY	NULL	NULL	50	28	WP KUALA LUMPUR	47.624700	47.374858	1262616
1119868	ULU LANGAT	MAY	NULL	NULL	43	28	ULU LANGAT	303.686900	85.132065	46766
1119869	SEMENYIH	MAY	NULL	NULL	43	28	ULU LANGAT	100.091300	54.937171	49076
1119870	BERANANG	MAY	NULL	NULL	43	28	ULU LANGAT	63.081800	38.481969	14071
1119871	ULU SEMENYIH	MAY	NULL	NULL	43	28	ULU LANGAT	184.882400	64.100989	3408
1119872	BATU	MAY	NULL	NULL	68	28	GOMBAK	131.068900	76.422869	20387
1119873	RAWANG	MAY	NULL	NULL	68	28	GOMBAK	267.861500	91.652897	121071
1119874	KAPAR	MAY	NULL	NULL	42	28	KLANG	228.634900	99.420872	216478
1119875	JERAM	MAY	NULL	NULL	45	28	KUALA SELANGOR	153.451700	59.284629	8552
1119876	IJUK	MAY	NULL	NULL	45	28	KUALA SELANGOR	141.748500	65.092914	16162
1119877	SUNGAI BULUH	MAY	NULL	NULL	47	28	PETALING	129.396100	67.386151	270453
1119878	BUKIT RAJA	MAY	NULL	NULL	47	28	PETALING	89.121700	58.789242	35670
1119879	SHAH ALAM	MAY	NULL	NULL	40	28	PETALING	21.247700	21.888337	453420
1119880	DAMANSARA	MAY	NULL	NULL	47	28	PETALING	123.334900	76.199064	453420
1119881	JUGRA	MAY	NULL	NULL	42	28	KUALA LANGAT	155.567500	91.377979	7936
1119882	TANJUNG DUA BELAS	MAY	NULL	NULL	42	28	KUALA LANGAT	336.883400	85.771133	77333
1119883	LABU	MAY	NULL	NULL	43	28	SEPANG	107.176200	42.248034	52557
1119884	KELANANG	MAY	NULL	NULL	42	28	KUALA LANGAT	70.913500	41.977352	16589
1119885	BANDAR	MAY	NULL	NULL	42	28	KUALA LANGAT	50.618400	34.002773	10351
1119886	TELUK PANGLIMA GARANG	MAY	NULL	NULL	42	28	KUALA LANGAT	77.971700	59.070289	55273
1119887	AIR HANGAT	MAY	NULL	NULL	7	28	LANGKAWI	67.261600	73.325104	9401
1119888	BANDAR MELAKA	MAY	NULL	NULL	75	28	MELAKA TENGAH	16.724900	4.851974	74107
1119889	BUKIT GINTING	MAY	NULL	NULL	11	28	BARAT DAYA	6.053600	17.309794	1678
1119890	BUKIT MERIAM	MAY	NULL	NULL	8	28	KUALA MUDA	41.646900	39.971587	6971
1119891	BUKIT PASIR PANJANG	MAY	NULL	NULL	11	28	BARAT DAYA	5.689200	15.328427	839
1119892	PADANG MAT SIRAT	MAY	NULL	NULL	7	28	LANGKAWI	78.384500	0.515722	9263
1119893	KEDAWANG	MAY	NULL	NULL	7	28	LANGKAWI	54.470600	87.675429	8449
1119894	KUAH	MAY	NULL	NULL	7	28	LANGKAWI	161.359800	212.935823	26602
1119895	CUKAI	MAY	NULL	NULL	24	28	KEMAMAN	25.860400	39.666595	42888
1119896	KLANG	MAY	NULL	NULL	41	28	KLANG	403.115700	261.341737	426958
1119899	KUALA DUNGUN	MAY	NULL	NULL	23	28	DUNGUN	62.931600	55.509989	34202
1119900	KUALA PAHANG	MAY	NULL	NULL	26	28	PEKAN	38.517700	35.009599	6867
1119905	LUMUT	MAY	NULL	NULL	32	28	MANJUNG	236.369900	144.398145	47628
1119906	PAYA TERUBUNG MUKIM 13	MAY	NULL	NULL	11	28	TIMUR LAUT	33.298200	0.429126	43779
1119907	BAYAN LEPAS MUKIM 12	MAY	NULL	NULL	11	28	BARAT DAYA	31.574000	34.798414	94740
1119908	PANTAI	MAY	NULL	NULL	22	28	SETIU	77.278700	93.326879	3272
1119910	PEKAN	MAY	NULL	NULL	26	28	PEKAN	180.006200	105.195976	23652
1119911	PERNU	MAY	NULL	NULL	76	28	MELAKA TENGAH	4.830400	105.195976	4902
1119913	PONTIAN KECHIL	MAY	NULL	NULL	82	28	PONTIAN	126.555900	57.586001	32542
1119914	PORT DICKSON	MAY	NULL	NULL	71	28	PORT DICKSON	114.175200	64.546280	40300
1119915	PULAU BIDUNG LAUT	MAY	NULL	NULL	21	28	KUALA TERENGGANU	2.977100	11.856451	3897
1119916	PULAU KERENGGA	MAY	NULL	NULL	21	28	MARANG	122.781900	74.688833	17546
1119917	PULAU PERHENTIAN BESAR	MAY	NULL	NULL	22	28	BESUT	15.859400	41.636235	1274
1119918	PULAU REDANG	MAY	NULL	NULL	21	28	KUALA TERENGGANU	27.546700	50.605745	1453
1119919	PULAU TIOMAN	MAY	NULL	NULL	26	28	ROMPIN	135.430300	83.676374	3039
1119922	SITIAWAN	MAY	NULL	NULL	32	28	MANJUNG	516.847800	133.185406	96265
1119923	SUNGAI PINANG	MAY	NULL	NULL	16	28	TUMPAT	31.698500	102.321609	16622
1119925	TENGLU	MAY	NULL	NULL	86	28	MERSING	161.885000	62.105987	2827
1119927	AIR MASIN	MAY	NULL	NULL	82	28	PONTIAN	44.470100	30.063017	5066
1119928	TELOK MAS	MAY	NULL	NULL	75	28	MELAKA TENGAH	4.537000	10.773924	5424
1119929	PONDOK UPEH MUKIM 6	MAY	NULL	NULL	11	28	BARAT DAYA	9.983800	16.098421	8261
1119147	BUKIT PINANG	MAY	NULL	NULL	6	28	KOTA SETAR	10.752100	15.575913	5658
1119148	DERGA	MAY	NULL	NULL	6	28	KOTA SETAR	23.195300	25.521910	27905
1119149	AIR PUTIH	MAY	NULL	NULL	6	28	PENDANG	138.999500	62.865845	29872
1119150	BUKIT RAYA	MAY	NULL	NULL	6	28	PENDANG	61.815800	34.269219	13171
1119151	SALA BESAR	MAY	NULL	NULL	6	28	YAN	72.572500	49.741821	24267
1119152	BUKIT TINGGI	MAY	NULL	NULL	6	28	KUBANG PASU	8.240900	18.204611	6052
1119153	JITRA	MAY	NULL	NULL	6	28	KUBANG PASU	12.444200	16.816972	21743
1119154	NAGA	MAY	NULL	NULL	6	28	KUBANG PASU	48.991400	46.360920	24263
1119155	GELUNG	MAY	NULL	NULL	6	28	KUBANG PASU	31.244700	27.225133	7086
1119156	BINJAL	MAY	NULL	NULL	6	28	KUBANG PASU	21.838000	22.045229	3315
1119157	HUSBA	MAY	NULL	NULL	6	28	KUBANG PASU	25.683400	26.902155	2937
1119158	TEMIN	MAY	NULL	NULL	6	28	KUBANG PASU	220.528000	73.890640	25454
1119159	SUNGAI DAUN	MAY	NULL	NULL	6	28	YAN	54.042000	33.262003	11388
1119160	DULANG	MAY	NULL	NULL	6	28	YAN	23.434700	23.218871	5163
1119161	TANJUNG PIANDANG	MAY	NULL	NULL	34	28	KERIAN	37.573800	28.122002	13396
1119162	KUALA KURAU	MAY	NULL	NULL	34	28	KERIAN	141.025200	66.786468	27144
1119163	MUKIM 11	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	10.656900	16.473825	24710
1119164	MUKIM 4	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	8.226400	12.737519	5049
1119165	MUKIM 6	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	11.041200	18.208757	282
1119166	MUKIM 11	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	45.701700	35.255029	24710
1119167	SUNGAI LAKA	MAY	NULL	NULL	6	28	KUBANG PASU	108.504000	49.903632	9339
1119168	YAN	MAY	NULL	NULL	6	28	YAN	73.638200	44.071261	18320
1119169	TANJONG TOKONG MUKIM 18	MAY	NULL	NULL	11	28	TIMUR LAUT	11.517700	27.083281	17389
1119170	BANDAR TANJUNG BUNGA	MAY	NULL	NULL	11	28	TIMUR LAUT	2.748600	9.062154	17389
1119171	GEORGETOWN	MAY	NULL	NULL	10	28	TIMUR LAUT	23.174400	31.402907	181380
1119172	BANDAR GELUGUR	MAY	NULL	NULL	11	28	TIMUR LAUT	2.927100	8.147775	43778
1119173	PUTAT	MAY	NULL	NULL	6	28	KUBANG PASU	28.379700	39.422878	5572
1119174	PADANG LALANG	MAY	NULL	NULL	6	28	KOTA SETAR	26.612500	24.283722	8052
1119175	KUBANG ROTAN	MAY	NULL	NULL	6	28	KOTA SETAR	20.120100	20.790418	5627
1119176	GUNUNG	MAY	NULL	NULL	6	28	KOTA SETAR	20.048300	22.398167	7043
1119177	PADANG HANG	MAY	NULL	NULL	6	28	KOTA SETAR	23.262800	23.314541	4370
1119178	KUALA KEDAH	MAY	NULL	NULL	6	28	KOTA SETAR	10.150100	15.129089	16832
1119179	TELUK KECAI	MAY	NULL	NULL	6	28	KOTA SETAR	8.194500	13.099119	7945
1119180	TUNJANG	MAY	NULL	NULL	6	28	KUBANG PASU	31.717900	40.650681	7042
1119181	JERAM	MAY	NULL	NULL	6	28	KUBANG PASU	38.195600	28.880905	8241
1119182	PADANG PERAHU	MAY	NULL	NULL	6	28	KUBANG PASU	20.259900	33.720696	3558
1119183	PADANG SIDING	MAY	NULL	NULL	6	28	PERLIS	66.650600	35.873894	5779
1119184	KURONG ANAI	MAY	NULL	NULL	6	28	PERLIS	49.316000	43.191497	10424
1119185	CHUPING	MAY	NULL	NULL	6	28	PERLIS	111.225200	54.211320	11793
1119186	AH	MAY	NULL	NULL	6	28	KUBANG PASU	31.618400	34.746079	6695
1119187	PERING	MAY	NULL	NULL	6	28	KUBANG PASU	41.011800	38.550817	6891
1119188	KEPELU	MAY	NULL	NULL	6	28	KUBANG PASU	39.341400	41.021854	10158
1119189	BANDAR BATU FERINGGI	MAY	NULL	NULL	11	28	TIMUR LAUT	2.264200	14.238659	2347
1119190	BUKIT AYER ITAM MUKIM 15	MAY	NULL	NULL	11	28	TIMUR LAUT	4.846000	14.228396	52
1119191	BATU FERINGGI MUKIM 17	MAY	NULL	NULL	11	28	TIMUR LAUT	24.826400	38.184600	2348
1119192	BUKIT GEMUROH MUKIM 9	MAY	NULL	NULL	11	28	BARAT DAYA	9.752000	16.825038	11069
1119193	SUNGAI RUSA MUKIM 3	MAY	NULL	NULL	11	28	BARAT DAYA	6.035300	11.294776	2035
1119194	BUKIT BALIK PULAU MUKIM 5	MAY	NULL	NULL	11	28	BARAT DAYA	5.290100	15.287564	145
1119195	TELOK KUMBAR MUKIM 11	MAY	NULL	NULL	11	28	BARAT DAYA	6.970600	13.886203	11734
1119196	BUKIT RELAU MUKIM 10	MAY	NULL	NULL	11	28	BARAT DAYA	11.257200	21.890027	2195
1119197	TELOK BAHANG MUKIM 2	MAY	NULL	NULL	11	28	BARAT DAYA	20.845600	23.743292	3234
1119198	BATU ITAM MUKIM 4	MAY	NULL	NULL	11	28	BARAT DAYA	9.975900	17.877459	1822
1119199	PADANG PAUH	MAY	NULL	NULL	6	28	PERLIS	7.359600	13.643716	3699
1119200	JEJAWI	MAY	NULL	NULL	6	28	PERLIS	13.267800	27.127767	7139
1119201	NGOLANG	MAY	NULL	NULL	6	28	PERLIS	7.015600	12.888155	3145
1119202	ARAU	MAY	NULL	NULL	6	28	PERLIS	38.280700	31.356256	17898
1119203	PAYA	MAY	NULL	NULL	6	28	PERLIS	10.752100	15.857119	4973
1119204	BESERI	MAY	NULL	NULL	6	28	PERLIS	70.818800	35.461115	12437
1119205	JERLUN	MAY	NULL	NULL	6	28	KUBANG PASU	67.049100	35.007009	18175
1119206	SANGLANG	MAY	NULL	NULL	6	28	KUBANG PASU	41.895500	29.139308	10054
1119207	PERMATANG PASIR MUKIM C	MAY	NULL	NULL	11	28	BARAT DAYA	6.889300	12.545305	1911
1119208	SUNGAI RUSA MUKIM B	MAY	NULL	NULL	11	28	BARAT DAYA	5.114300	9.932504	1594
1119209	BAGAN AYER HITAM MUKIM D	MAY	NULL	NULL	11	28	BARAT DAYA	3.705600	8.940762	2503
1119210	TITI TERAS MUKIM E	MAY	NULL	NULL	11	28	BARAT DAYA	3.600000	10.088101	2360
1119211	PULAU BETONG MUKIM I	MAY	NULL	NULL	11	28	BARAT DAYA	4.434900	9.320737	1311
1119212	SUNGAI BURUNG MUKIM H	MAY	NULL	NULL	11	28	BARAT DAYA	2.988200	7.042021	1271
1119213	KAMPUNG PAYA MUKIM G	MAY	NULL	NULL	11	28	BARAT DAYA	0.977900	4.468897	2077
1119214	DATARAN GINTING MUKIM J	MAY	NULL	NULL	11	28	BARAT DAYA	2.268600	7.319804	1405
1119215	SUNGAI PINANG MUKIM A	MAY	NULL	NULL	11	28	BARAT DAYA	2.309300	8.482143	2423
1119216	KECHOR	MAY	NULL	NULL	6	28	PERLIS	9.375800	18.037006	5924
1119217	BANDAR KANGAR	MAY	NULL	NULL	1	28	PERLIS	1.136600	5.563198	5924
1119218	ABI	MAY	NULL	NULL	6	28	PERLIS	5.945900	11.750866	2100
1119219	SENA	MAY	NULL	NULL	6	28	PERLIS	14.498600	18.142395	13465
1119220	UTAN AJI	MAY	NULL	NULL	6	28	PERLIS	26.002200	29.283974	16829
1119221	BUKIT PAYA TERUBONG MUKIM 14	MAY	NULL	NULL	11	28	TIMUR LAUT	4.973400	11.058874	1817
1119222	BANDAR BUKIT BENDERA	MAY	NULL	NULL	11	28	TIMUR LAUT	3.489600	11.258687	43779
1119223	BANDAR AIR HITAM	MAY	NULL	NULL	11	28	TIMUR LAUT	1.743200	8.321013	9266
1119224	AIR HITAM MUKIM 16	MAY	NULL	NULL	11	28	TIMUR LAUT	3.973700	13.670428	9266
1119225	BANDAR BAYAN LEPAS	MAY	NULL	NULL	11	28	BARAT DAYA	0.087000	1.077070	11734
1119226	SUNGAI ADAM	MAY	NULL	NULL	6	28	PERLIS	5.465100	14.611653	1581
1119227	ORAN	MAY	NULL	NULL	6	28	PERLIS	8.468400	13.599002	3610
1119228	MUKIM 1	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	8.829200	16.741719	3305
1119229	KOTA	MAY	NULL	NULL	8	28	KUALA MUDA	5.866700	10.989598	21724
1119230	PUMPUNG	MAY	NULL	NULL	6	28	KOTA SETAR	11.019000	15.806272	16919
1119231	ANAK BUKIT	MAY	NULL	NULL	6	28	KOTA SETAR	5.980100	10.105330	8982
1119232	ALUR MERAH	MAY	NULL	NULL	6	28	KOTA SETAR	8.869100	16.136069	10303
1119233	KOTA SETAR	MAY	NULL	NULL	6	28	KOTA SETAR	10.168300	16.118189	26712
1119234	TITI GAJAH	MAY	NULL	NULL	6	28	KOTA SETAR	13.200200	19.889295	4564
1119235	PENGKALAN KUNDUR	MAY	NULL	NULL	6	28	KOTA SETAR	41.132200	31.037480	52659
1119236	KANGKUNG	MAY	NULL	NULL	6	28	KOTA SETAR	22.910300	22.346726	8915
1119237	SALA KECIL	MAY	NULL	NULL	6	28	KOTA SETAR	15.274400	22.345168	8138
1119238	TEBENGAU	MAY	NULL	NULL	6	28	KOTA SETAR	17.261900	20.921081	4381
1119239	SINGKIR	MAY	NULL	NULL	6	28	YAN	18.988500	18.287584	3079
1119240	BANDAR JELUTUNG	MAY	NULL	NULL	11	28	TIMUR LAUT	5.503800	14.331153	43779
1119241	KUALA	MAY	NULL	NULL	8	28	KUALA MUDA	7.069700	12.391894	3165
1119242	SUNGAI BAHARU	MAY	NULL	NULL	6	28	KOTA SETAR	5.761200	11.717193	1733
1119243	MERGUNG	MAY	NULL	NULL	6	28	KOTA SETAR	13.485900	15.284544	15783
1119244	TELUK CENGAI	MAY	NULL	NULL	6	28	KOTA SETAR	5.780400	11.659342	7226
1119245	BANDAR PRAI	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	5.668100	21.728254	12644
1119246	MUKIM 1	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	17.004900	25.887739	3305
1119247	MUKIM 9	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	6.589900	10.746196	15097
1119248	MUKIM 4	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	9.689300	14.896202	5049
1119249	MUKIM 15	MAY	NULL	NULL	12	28	SEBERANG PERAI UTARA	13.558300	22.756333	25942
1119250	MUKIM 7	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	11.799400	14.042041	3193
1119251	MUKIM 14	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	2.660800	8.196302	58011
1119252	HUTAN KAMPUNG	MAY	NULL	NULL	6	28	KOTA SETAR	10.364100	13.980245	7146
1119253	ALUR MALAI	MAY	NULL	NULL	6	28	KOTA SETAR	9.572000	15.919508	27870
1119254	SIDAM KANAN	MAY	NULL	NULL	9	28	KULIM	38.151400	35.410330	12330
1119255	BAGAN SEMAK	MAY	NULL	NULL	9	28	BANDAR BAHARU	78.495900	57.844281	12341
1119256	SUNGAI SELUANG	MAY	NULL	NULL	9	28	KULIM	21.277000	26.173453	28568
1119257	RELAU	MAY	NULL	NULL	9	28	BANDAR BAHARU	26.884300	26.171728	2790
1119258	SUNGAI KECIL HILIR	MAY	NULL	NULL	9	28	BANDAR BAHARU	20.208000	20.942422	2651
1119259	KELADI	MAY	NULL	NULL	9	28	KULIM	10.050400	14.832128	25103
1119260	KULIM	MAY	NULL	NULL	9	28	KULIM	56.828400	37.083971	50874
1119261	LUNAS	MAY	NULL	NULL	9	28	KULIM	17.484300	25.689824	15028
1119262	JUNJUNG	MAY	NULL	NULL	9	28	KULIM	33.240400	28.664704	4300
1119263	NAGA LILIT	MAY	NULL	NULL	9	28	KULIM	29.895200	23.066289	8511
1119264	MUKIM 8	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	15.678600	16.842943	7979
1119265	PINANG TUNGGAL	MAY	NULL	NULL	8	28	KUALA MUDA	35.683300	33.909342	7754
1119266	SIDAM KIRI	MAY	NULL	NULL	8	28	KUALA MUDA	68.971900	49.696849	7227
1119267	TELOI KIRI	MAY	NULL	NULL	8	28	KUALA MUDA	126.948800	78.443458	10068
1119268	SUNGAI PETANI	MAY	NULL	NULL	8	28	KUALA MUDA	184.577200	70.431898	143523
1119269	GURUN	MAY	NULL	NULL	8	28	KUALA MUDA	200.965100	81.833565	35596
1119270	LESUNG	MAY	NULL	NULL	6	28	KOTA SETAR	40.073200	48.732469	5374
1119271	BUKIT LADA	MAY	NULL	NULL	6	28	KOTA SETAR	41.214500	42.116426	5773
1119272	GAJAH MATI	MAY	NULL	NULL	6	28	KOTA SETAR	55.444200	33.649585	9817
1119273	TOBIAR	MAY	NULL	NULL	6	28	PENDANG	42.264900	38.216613	5989
1119274	PADANG PUSING	MAY	NULL	NULL	6	28	PENDANG	39.856100	33.411991	9789
1119275	RAMBAI	MAY	NULL	NULL	6	28	PENDANG	61.237200	43.686014	8271
1119276	KURUNG HITAM	MAY	NULL	NULL	6	28	PADANG TERAP	57.125600	41.430367	2687
1119277	TOLAK	MAY	NULL	NULL	6	28	PADANG TERAP	83.952500	46.192898	2723
1119278	PADANG TEMAK	MAY	NULL	NULL	6	28	PADANG TERAP	47.897700	32.285853	5122
